source,target,value
hsa151,D02149,A
hsa146,D02149,A
hsa147,D00454,A
hsa151,D00609,A
hsa148,D00996,A
hsa146,D01603,A
hsa147,D00513,A
hsa146,D02237,A
hsa147,D01603,A
hsa3351,D00451,A
hsa154,D02150,A
hsa147,D00255,A
hsa3352,D00451,A
hsa151,D00996,A
hsa146,D00996,A
hsa146,D00509,A
hsa147,D00996,A
hsa150,D02149,A
hsa150,D00281,A
hsa153,D00513,A
hsa147,D02149,A
hsa151,D01022,A
hsa146,D00513,A
hsa154,D01390,A
hsa151,D00509,A
hsa147,D00509,A
hsa150,D00509,A
hsa146,D00281,A
hsa3355,D00451,A
hsa147,D00607,A
hsa147,D00437,A
hsa146,D01022,A
hsa146,D00454,A
hsa148,D00454,A
hsa146,D00437,A
hsa147,D01022,A
hsa146,D00607,A
hsa3356,D00283,A
hsa151,D00454,A
hsa151,D01603,A
hsa150,D00996,A
hsa154,D00513,A
hsa146,D00283,A
hsa147,D02237,A
hsa147,D00283,A
hsa2918,D00775,A
hsa146,D00426,A
hsa153,D02338,A
hsa1812,D00454,A
hsa146,D01713,A
