source,target,value
hsa6329,D02356,A
hsa59284,D02356,A
hsa5310,D00332,A
hsa776,D00629,A
hsa784,D00512,A
hsa3710,D00332,A
hsa776,D00618,A
hsa778,D00437,A
hsa3708,D01295,A
hsa55503,D00560,A
hsa59284,D00512,A
hsa779,D02356,A
hsa785,D00560,A
hsa8989,D00512,A
hsa783,D00437,A
hsa3710,D00560,A
hsa2555,D00549,A
hsa3710,D01295,A
hsa10369,D00512,A
hsa55503,D00512,A
hsa783,D01295,A
hsa55799,D00512,A
hsa27092,D00512,A
hsa55503,D01295,A
hsa55503,D00332,A
hsa774,D00560,A
hsa775,D00629,A
hsa774,D00512,A
hsa3708,D00512,A
hsa782,D00332,A
hsa785,D00512,A
hsa59284,D00332,A
hsa8989,D00560,A
hsa2554,D00293,A
hsa3708,D00560,A
hsa776,D00437,A
hsa777,D01295,A
hsa5310,D00560,A
hsa8912,D00512,A
hsa2569,D00549,A
hsa5310,D00512,A
hsa6331,D01243,A
hsa27092,D00332,A
hsa6328,D00538,A
hsa774,D01295,A
hsa3710,D00512,A
hsa782,D00512,A
hsa6329,D02098,A
hsa784,D00332,A
hsa2559,D00293,A
