0.125	0.0625	0.0625	0.535
0.125	0.0625	0.125	0.414
0.125	0.0625	0.25	0.491
0.125	0.0625	0.5	0.536
0.125	0.0625	1	0.547
0.125	0.0625	2	0.502
0.125	0.0625	4	0.436
0.125	0.0625	8	0.387
0.125	0.0625	16	0.313
0.125	0.0625	32	0.281
0.125	0.0625	64	0.323
0.125	0.125	0.0625	0.192
0.125	0.125	0.125	0.281
0.125	0.125	0.25	0.474
0.125	0.125	0.5	0.519
0.125	0.125	1	0.53
0.125	0.125	2	0.519
0.125	0.125	4	0.46
0.125	0.125	8	0.4
0.125	0.125	16	0.384
0.125	0.125	32	0.393
0.125	0.125	64	0.339
0.125	0.25	0.0625	0.27
0.125	0.25	0.125	0.347
0.125	0.25	0.25	0.47
0.125	0.25	0.5	0.552
0.125	0.25	1	0.584
0.125	0.25	2	0.551
0.125	0.25	4	0.505
0.125	0.25	8	0.486
0.125	0.25	16	0.461
0.125	0.25	32	0.415
0.125	0.25	64	0.306
0.125	0.5	0.0625	0.385
0.125	0.5	0.125	0.438
0.125	0.5	0.25	0.485
0.125	0.5	0.5	0.562
0.125	0.5	1	0.571
0.125	0.5	2	0.572
0.125	0.5	4	0.531
0.125	0.5	8	0.494
0.125	0.5	16	0.492
0.125	0.5	32	0.365
0.125	0.5	64	0.281
0.125	1	0.0625	0.435
0.125	1	0.125	0.494
0.125	1	0.25	0.494
0.125	1	0.5	0.547
0.125	1	1	0.576
0.125	1	2	0.56
0.125	1	4	0.525
0.125	1	8	0.495
0.125	1	16	0.405
0.125	1	32	0.375
0.125	1	64	0.309
0.125	2	0.0625	0.492
0.125	2	0.125	0.473
0.125	2	0.25	0.513
0.125	2	0.5	0.543
0.125	2	1	0.574
0.125	2	2	0.566
0.125	2	4	0.55
0.125	2	8	0.529
0.125	2	16	0.459
0.125	2	32	0.434
0.125	2	64	0.406
0.125	4	0.0625	0.448
0.125	4	0.125	0.412
0.125	4	0.25	0.504
0.125	4	0.5	0.522
0.125	4	1	0.536
0.125	4	2	0.52
0.125	4	4	0.517
0.125	4	8	0.527
0.125	4	16	0.523
0.125	4	32	0.514
0.125	4	64	0.499
0.125	8	0.0625	0.455
0.125	8	0.125	0.426
0.125	8	0.25	0.413
0.125	8	0.5	0.426
0.125	8	1	0.436
0.125	8	2	0.446
0.125	8	4	0.454
0.125	8	8	0.497
0.125	8	16	0.468
0.125	8	32	0.535
0.125	8	64	0.522
0.125	16	0.0625	0.427
0.125	16	0.125	0.39
0.125	16	0.25	0.376
0.125	16	0.5	0.381
0.125	16	1	0.357
0.125	16	2	0.347
0.125	16	4	0.371
0.125	16	8	0.422
0.125	16	16	0.458
0.125	16	32	0.491
0.125	16	64	0.496
0.125	32	0.0625	0.402
0.125	32	0.125	0.352
0.125	32	0.25	0.348
0.125	32	0.5	0.317
0.125	32	1	0.312
0.125	32	2	0.304
0.125	32	4	0.331
0.125	32	8	0.363
0.125	32	16	0.419
0.125	32	32	0.461
0.125	32	64	0.466
0.125	64	0.0625	0.389
0.125	64	0.125	0.332
0.125	64	0.25	0.32
0.125	64	0.5	0.299
0.125	64	1	0.294
0.125	64	2	0.304
0.125	64	4	0.336
0.125	64	8	0.37
0.125	64	16	0.408
0.125	64	32	0.418
0.125	64	64	0.412
0.25	0.0625	0.0625	0.736
0.25	0.0625	0.125	0.727
0.25	0.0625	0.25	0.705
0.25	0.0625	0.5	0.653
0.25	0.0625	1	0.628
0.25	0.0625	2	0.604
0.25	0.0625	4	0.573
0.25	0.0625	8	0.502
0.25	0.0625	16	0.398
0.25	0.0625	32	0.384
0.25	0.0625	64	0.366
0.25	0.125	0.0625	0.708
0.25	0.125	0.125	0.649
0.25	0.125	0.25	0.647
0.25	0.125	0.5	0.662
0.25	0.125	1	0.634
0.25	0.125	2	0.578
0.25	0.125	4	0.523
0.25	0.125	8	0.486
0.25	0.125	16	0.441
0.25	0.125	32	0.383
0.25	0.125	64	0.336
0.25	0.25	0.0625	0.536
0.25	0.25	0.125	0.561
0.25	0.25	0.25	0.611
0.25	0.25	0.5	0.634
0.25	0.25	1	0.636
0.25	0.25	2	0.592
0.25	0.25	4	0.568
0.25	0.25	8	0.476
0.25	0.25	16	0.422
0.25	0.25	32	0.388
0.25	0.25	64	0.358
0.25	0.5	0.0625	0.553
0.25	0.5	0.125	0.594
0.25	0.5	0.25	0.633
0.25	0.5	0.5	0.623
0.25	0.5	1	0.608
0.25	0.5	2	0.585
0.25	0.5	4	0.555
0.25	0.5	8	0.521
0.25	0.5	16	0.474
0.25	0.5	32	0.429
0.25	0.5	64	0.389
0.25	1	0.0625	0.552
0.25	1	0.125	0.55
0.25	1	0.25	0.584
0.25	1	0.5	0.625
0.25	1	1	0.633
0.25	1	2	0.604
0.25	1	4	0.549
0.25	1	8	0.512
0.25	1	16	0.477
0.25	1	32	0.445
0.25	1	64	0.417
0.25	2	0.0625	0.566
0.25	2	0.125	0.514
0.25	2	0.25	0.549
0.25	2	0.5	0.578
0.25	2	1	0.598
0.25	2	2	0.561
0.25	2	4	0.537
0.25	2	8	0.522
0.25	2	16	0.474
0.25	2	32	0.458
0.25	2	64	0.418
0.25	4	0.0625	0.542
0.25	4	0.125	0.487
0.25	4	0.25	0.497
0.25	4	0.5	0.541
0.25	4	1	0.555
0.25	4	2	0.55
0.25	4	4	0.525
0.25	4	8	0.519
0.25	4	16	0.459
0.25	4	32	0.454
0.25	4	64	0.446
0.25	8	0.0625	0.51
0.25	8	0.125	0.462
0.25	8	0.25	0.457
0.25	8	0.5	0.511
0.25	8	1	0.52
0.25	8	2	0.515
0.25	8	4	0.482
0.25	8	8	0.49
0.25	8	16	0.447
0.25	8	32	0.459
0.25	8	64	0.453
0.25	16	0.0625	0.507
0.25	16	0.125	0.458
0.25	16	0.25	0.446
0.25	16	0.5	0.503
0.25	16	1	0.469
0.25	16	2	0.444
0.25	16	4	0.445
0.25	16	8	0.429
0.25	16	16	0.429
0.25	16	32	0.418
0.25	16	64	0.447
0.25	32	0.0625	0.467
0.25	32	0.125	0.407
0.25	32	0.25	0.392
0.25	32	0.5	0.375
0.25	32	1	0.392
0.25	32	2	0.36
0.25	32	4	0.364
0.25	32	8	0.374
0.25	32	16	0.401
0.25	32	32	0.414
0.25	32	64	0.423
0.25	64	0.0625	0.418
0.25	64	0.125	0.377
0.25	64	0.25	0.362
0.25	64	0.5	0.373
0.25	64	1	0.345
0.25	64	2	0.342
0.25	64	4	0.344
0.25	64	8	0.365
0.25	64	16	0.398
0.25	64	32	0.427
0.25	64	64	0.405
0.5	0.0625	0.0625	0.701
0.5	0.0625	0.125	0.703
0.5	0.0625	0.25	0.717
0.5	0.0625	0.5	0.745
0.5	0.0625	1	0.71
0.5	0.0625	2	0.701
0.5	0.0625	4	0.64
0.5	0.0625	8	0.601
0.5	0.0625	16	0.55
0.5	0.0625	32	0.516
0.5	0.0625	64	0.496
0.5	0.125	0.0625	0.713
0.5	0.125	0.125	0.718
0.5	0.125	0.25	0.736
0.5	0.125	0.5	0.731
0.5	0.125	1	0.706
0.5	0.125	2	0.68
0.5	0.125	4	0.624
0.5	0.125	8	0.598
0.5	0.125	16	0.481
0.5	0.125	32	0.455
0.5	0.125	64	0.419
0.5	0.25	0.0625	0.74
0.5	0.25	0.125	0.737
0.5	0.25	0.25	0.737
0.5	0.25	0.5	0.734
0.5	0.25	1	0.731
0.5	0.25	2	0.671
0.5	0.25	4	0.614
0.5	0.25	8	0.577
0.5	0.25	16	0.512
0.5	0.25	32	0.444
0.5	0.25	64	0.388
0.5	0.5	0.0625	0.727
0.5	0.5	0.125	0.718
0.5	0.5	0.25	0.738
0.5	0.5	0.5	0.742
0.5	0.5	1	0.727
0.5	0.5	2	0.659
0.5	0.5	4	0.584
0.5	0.5	8	0.549
0.5	0.5	16	0.496
0.5	0.5	32	0.451
0.5	0.5	64	0.382
0.5	1	0.0625	0.716
0.5	1	0.125	0.669
0.5	1	0.25	0.711
0.5	1	0.5	0.718
0.5	1	1	0.705
0.5	1	2	0.629
0.5	1	4	0.556
0.5	1	8	0.503
0.5	1	16	0.463
0.5	1	32	0.46
0.5	1	64	0.389
0.5	2	0.0625	0.67
0.5	2	0.125	0.621
0.5	2	0.25	0.62
0.5	2	0.5	0.602
0.5	2	1	0.612
0.5	2	2	0.568
0.5	2	4	0.529
0.5	2	8	0.513
0.5	2	16	0.483
0.5	2	32	0.457
0.5	2	64	0.355
0.5	4	0.0625	0.617
0.5	4	0.125	0.574
0.5	4	0.25	0.526
0.5	4	0.5	0.567
0.5	4	1	0.557
0.5	4	2	0.545
0.5	4	4	0.521
0.5	4	8	0.512
0.5	4	16	0.491
0.5	4	32	0.412
0.5	4	64	0.378
0.5	8	0.0625	0.586
0.5	8	0.125	0.544
